generation,fitness,center_control.opening,center_control.midgame,center_control.endgame,check.opening,check.midgame,check.endgame,king_front_pawns.opening,king_front_pawns.midgame,king_front_pawns.endgame,material.opening,material.midgame,material.endgame,mobility.opening,mobility.midgame,mobility.endgame,pawn_devel.opening,pawn_devel.midgame,pawn_devel.endgame,positioning.opening,positioning.midgame,positioning.endgame,positions.king,positions.queen,positions.rook,positions.bishop,positions.knight,positions.pawn,protected_pieces.opening,protected_pieces.midgame,protected_pieces.endgame,values.king,values.queen,values.rook,values.bishop,values.knight,values.pawn,vulnerability.opening,vulnerability.midgame,vulnerability.endgame
1,0.367873,1.000000,1.000000,1.000000,33.812546,39.931282,8.703629,10.221552,54.142406,66.079140,8.627581,73.324829,93.794464,39.494389,87.202919,91.040794,3.744756,67.663773,96.272522,16.995789,76.494759,65.403961,8.979713,66.359215,18.636518,24.339001,83.273430,86.910690,1.000000,1.000000,1.000000,2475.681152,2475.175293,5861.207031,4919.369141,4174.753906,3510.682373,99.222672,16.729689,42.455940
1,0.367683,1.000000,1.000000,1.000000,4.496203,51.695747,38.656292,33.445854,96.098953,63.555798,77.016907,44.760399,56.620216,82.982002,45.458885,81.092026,13.335937,53.975113,76.633636,44.382339,86.031174,51.359196,41.462132,53.570129,70.566513,65.137550,53.233772,79.952858,1.000000,1.000000,1.000000,3023.859863,742.579041,7491.394043,4679.946289,5180.812500,6094.510742,49.428642,14.006968,89.537430
1,0.367123,1.000000,1.000000,1.000000,24.955225,1.259566,71.680588,1.712157,52.875145,27.105665,63.220741,36.998344,67.788841,38.215824,45.660881,2.376821,83.041733,67.109268,45.490692,17.592503,40.292366,91.236847,79.997108,53.933140,25.060213,2.772527,5.636158,65.236916,1.000000,1.000000,1.000000,6014.302734,9724.480469,2013.718628,4924.828125,1483.730103,6042.955078,62.907967,3.777393,53.609028
1,0.366693,1.000000,1.000000,1.000000,40.621056,18.851656,17.688927,19.075958,26.614908,65.218079,75.635345,98.825890,52.479538,22.911562,20.053608,55.252392,73.678391,42.709377,27.836098,25.977139,27.064377,95.331703,18.103416,37.949055,46.482521,28.808350,38.042763,62.350746,1.000000,1.000000,1.000000,4606.292480,2772.762451,1417.116699,5599.237793,5370.476562,4123.554199,8.801340,2.252719,58.308399
1,0.366272,1.000000,1.000000,1.000000,33.548340,13.083169,68.539177,85.139694,75.107513,23.191956,88.927551,87.819450,68.434731,61.798740,74.882790,32.245319,92.313774,0.423403,4.680663,52.503658,72.637909,83.402153,70.088432,96.114426,69.767830,23.994410,23.120371,57.723183,1.000000,1.000000,1.000000,713.960388,5644.309570,3202.540039,2201.419434,894.675415,466.330017,36.985844,18.277365,47.836670
1,0.366092,1.000000,1.000000,1.000000,5.659307,56.251865,60.442284,14.877465,0.965606,1.829840,37.394455,98.678154,21.322191,77.320763,22.183130,84.933853,19.448828,58.082607,0.343028,75.922874,69.528931,56.079895,11.107619,39.848961,65.536308,15.642609,65.460258,93.221954,1.000000,1.000000,1.000000,9207.307617,9817.041992,4826.753418,9047.089844,7409.329102,1779.646484,35.746239,2.847908,85.778885
1,0.364892,1.000000,1.000000,1.000000,96.066856,63.875469,54.105503,64.813858,27.416283,28.767092,27.266243,31.256866,92.229210,34.456333,59.489166,65.655205,11.535724,2.132020,72.153984,80.441193,79.065063,89.508316,28.563669,97.571495,71.654480,11.588396,40.728226,93.092720,1.000000,1.000000,1.000000,627.427185,5840.445801,5039.915527,7381.882812,3884.564697,2946.421875,31.093277,17.638599,21.868835
1,0.364872,1.000000,1.000000,1.000000,79.132927,8.059078,74.387245,3.707510,28.287537,41.224571,71.719986,44.707066,87.343056,18.888294,80.869507,82.034897,32.836418,48.986420,75.407974,91.881149,77.295479,62.109024,23.518631,7.756151,94.323761,90.697899,89.900635,90.962830,1.000000,1.000000,1.000000,5928.063477,1880.345703,2002.929077,5673.878418,1068.460571,9732.476562,21.227583,24.668182,96.743950
1,0.364852,1.000000,1.000000,1.000000,64.541603,59.390724,49.447212,71.886726,63.382160,36.057529,48.884731,4.377719,31.091232,24.008743,2.200688,2.958797,7.401827,19.292330,59.733593,47.741680,17.240152,69.404213,51.851704,16.203026,90.606514,18.833944,39.979580,65.530258,1.000000,1.000000,1.000000,1354.599487,2301.760742,6622.437012,1910.822754,7075.928711,8346.452148,73.619469,0.537466,47.724720
1,0.364772,1.000000,1.000000,1.000000,22.752813,41.305191,97.185669,32.737595,36.606613,61.966862,88.364143,22.101177,93.436363,19.938099,65.657150,3.085421,39.638813,63.089996,76.197975,73.985130,27.280590,29.994799,32.965370,54.166515,73.214966,33.526382,96.998810,74.492325,1.000000,1.000000,1.000000,1873.123291,3472.405762,8505.809570,8092.348633,870.918701,1233.868408,27.353594,12.656188,19.282261
